block dimensions: 158 x 40
110 2, (111.695, 13.075)
111 2, (112.712, 13.341)
112 2, (113.729, 13.608)
113 2, (114.746, 13.874)
114 2, (115.763, 14.140)
115 2, (116.780, 14.407)
116 2, (117.797, 14.673)
117 2, (118.814, 14.939)
118 2, (119.831, 15.205)
119 2, (120.847, 15.472)
120 2, (121.864, 15.738)
121 2, (122.881, 16.004)
122 2, (123.898, 16.271)
123 2, (124.915, 16.537)
124 2, (125.932, 16.803)
125 2, (126.949, 17.070)
126 2, (127.966, 17.336)
127 2, (128.983, 17.602)
128 2, (130.000, 17.869)
129 2, (131.034, 18.580)
130 2, (132.069, 19.291)
131 2, (133.103, 20.002)
132 2, (134.138, 20.713)
133 2, (135.172, 21.424)
134 2, (136.207, 22.135)
135 2, (137.241, 22.847)
136 2, (138.276, 23.558)
137 2, (139.310, 24.269)
138 2, (140.345, 24.980)
139 2, (141.379, 25.691)
140 2, (142.414, 26.402)
141 2, (143.448, 27.113)
142 2, (144.483, 27.824)
143 2, (145.517, 28.536)
144 2, (146.552, 29.247)
145 2, (147.586, 29.958)
146 2, (148.621, 30.669)
147 2, (149.655, 31.380)
148 2, (150.690, 32.091)
149 2, (151.724, 32.802)
150 2, (152.759, 33.513)
151 2, (153.793, 34.225)
152 2, (154.828, 34.936)
153 2, (155.862, 35.647)
154 2, (156.897, 36.358)
155 2, (157.931, 37.069)
156 2, (158.966, 37.780)
157 2, (160.000, 38.491)
0 3, (0.000, 3.316)
1 3, (1.014, 3.316)
2 3, (2.029, 3.316)
3 3, (3.043, 3.316)
4 3, (4.058, 3.316)
5 3, (5.072, 3.316)
6 3, (6.087, 3.316)
7 3, (7.101, 3.316)
8 3, (8.116, 3.316)
9 3, (9.130, 3.316)
10 3, (10.145, 3.316)
11 3, (11.159, 3.316)
12 3, (12.174, 3.316)
13 3, (13.188, 3.316)
14 3, (14.203, 3.316)
15 3, (15.217, 3.316)
16 3, (16.232, 3.316)
17 3, (17.246, 3.316)
18 3, (18.261, 3.316)
19 3, (19.275, 3.316)
20 3, (20.290, 3.316)
21 3, (21.304, 3.316)
22 3, (22.319, 3.316)
23 3, (23.333, 3.316)
24 3, (24.348, 3.316)
25 3, (25.362, 3.316)
26 3, (26.377, 3.316)
27 3, (27.391, 3.316)
28 3, (28.406, 3.316)
29 3, (29.420, 3.316)
30 3, (30.435, 3.316)
31 3, (31.449, 3.316)
32 3, (32.464, 3.316)
33 3, (33.478, 3.316)
34 3, (34.493, 3.316)
35 3, (35.507, 3.316)
36 3, (36.522, 3.316)
37 3, (37.536, 3.316)
38 3, (38.551, 3.316)
39 3, (39.565, 3.316)
40 3, (40.580, 3.316)
41 3, (41.594, 3.316)
42 3, (42.609, 3.316)
43 3, (43.623, 3.316)
44 3, (44.638, 3.316)
45 3, (45.652, 3.316)
46 3, (46.667, 3.316)
47 3, (47.681, 3.316)
48 3, (48.696, 3.316)
49 3, (49.710, 3.316)
50 3, (50.725, 3.316)
51 3, (51.739, 3.316)
52 3, (52.754, 3.316)
53 3, (53.768, 3.316)
54 3, (54.783, 3.316)
55 3, (55.797, 3.316)
56 3, (56.812, 3.316)
57 3, (57.826, 3.316)
58 3, (58.841, 3.316)
59 3, (59.855, 3.316)
60 3, (60.870, 3.316)
61 3, (61.884, 3.316)
62 3, (62.899, 3.316)
63 3, (63.913, 3.316)
64 3, (64.928, 3.316)
65 3, (65.942, 3.316)
66 3, (66.957, 3.316)
67 3, (67.971, 3.316)
68 3, (68.986, 3.316)
69 3, (70.000, 3.316)
70 3, (71.017, 3.579)
71 3, (72.034, 3.843)
72 3, (73.051, 4.107)
73 3, (74.068, 4.370)
74 3, (75.085, 4.634)
75 3, (76.102, 4.898)
76 3, (77.119, 5.162)
77 3, (78.136, 5.425)
78 3, (79.153, 5.689)
79 3, (80.169, 5.953)
80 3, (81.186, 6.216)
81 3, (82.203, 6.480)
82 3, (83.220, 6.744)
83 3, (84.237, 7.007)
84 3, (85.254, 7.271)
85 3, (86.271, 7.535)
86 3, (87.288, 7.798)
87 3, (88.305, 8.062)
88 3, (89.322, 8.326)
89 3, (90.339, 8.590)
90 3, (91.356, 8.853)
91 3, (92.373, 9.117)
92 3, (93.390, 9.381)
93 3, (94.407, 9.644)
94 3, (95.424, 9.908)
95 3, (96.441, 10.172)
96 3, (97.458, 10.435)
97 3, (98.475, 10.699)
98 3, (99.492, 10.963)
99 3, (100.508, 11.226)
100 3, (101.525, 11.490)
101 3, (102.542, 11.754)
102 3, (103.559, 12.018)
103 3, (104.576, 12.281)
104 3, (105.593, 12.545)
105 3, (106.610, 12.809)
106 3, (107.627, 13.072)
107 3, (108.644, 13.336)
108 3, (109.661, 13.600)
109 3, (110.678, 13.863)
110 3, (111.695, 14.127)
111 3, (112.712, 14.391)
112 3, (113.729, 14.654)
113 3, (114.746, 14.918)
114 3, (115.763, 15.182)
115 3, (116.780, 15.446)
116 3, (117.797, 15.709)
117 3, (118.814, 15.973)
118 3, (119.831, 16.237)
119 3, (120.847, 16.500)
120 3, (121.864, 16.764)
121 3, (122.881, 17.028)
122 3, (123.898, 17.291)
123 3, (124.915, 17.555)
124 3, (125.932, 17.819)
125 3, (126.949, 18.082)
126 3, (127.966, 18.346)
127 3, (128.983, 18.610)
128 3, (130.000, 18.874)
129 3, (131.034, 19.578)
130 3, (132.069, 20.282)
131 3, (133.103, 20.986)
132 3, (134.138, 21.690)
133 3, (135.172, 22.394)
134 3, (136.207, 23.098)
135 3, (137.241, 23.802)
136 3, (138.276, 24.507)
137 3, (139.310, 25.211)
138 3, (140.345, 25.915)
139 3, (141.379, 26.619)
140 3, (142.414, 27.323)
141 3, (143.448, 28.027)
142 3, (144.483, 28.731)
143 3, (145.517, 29.436)
144 3, (146.552, 30.140)
145 3, (147.586, 30.844)
146 3, (148.621, 31.548)
147 3, (149.655, 32.252)
148 3, (150.690, 32.956)
149 3, (151.724, 33.660)
150 3, (152.759, 34.364)
151 3, (153.793, 35.069)
152 3, (154.828, 35.773)
153 3, (155.862, 36.477)
154 3, (156.897, 37.181)
155 3, (157.931, 37.885)
156 3, (158.966, 38.589)
157 3, (160.000, 39.293)
0 4, (0.000, 4.533)
1 4, (1.014, 4.533)
2 4, (2.029, 4.533)
3 4, (3.043, 4.533)
4 4, (4.058, 4.533)
5 4, (5.072, 4.533)
6 4, (6.087, 4.533)
7 4, (7.101, 4.533)
8 4, (8.116, 4.533)
9 4, (9.130, 4.533)
10 4, (10.145, 4.533)
11 4, (11.159, 4.533)
12 4, (12.174, 4.533)
13 4, (13.188, 4.533)
14 4, (14.203, 4.533)
15 4, (15.217, 4.533)
16 4, (16.232, 4.533)
17 4, (17.246, 4.533)
18 4, (18.261, 4.533)
19 4, (19.275, 4.533)
20 4, (20.290, 4.533)
21 4, (21.304, 4.533)
22 4, (22.319, 4.533)
23 4, (23.333, 4.533)
24 4, (24.348, 4.533)
25 4, (25.362, 4.533)
26 4, (26.377, 4.533)
27 4, (27.391, 4.533)
28 4, (28.406, 4.533)
29 4, (29.420, 4.533)
30 4, (30.435, 4.533)
31 4, (31.449, 4.533)
32 4, (32.464, 4.533)
33 4, (33.478, 4.533)
34 4, (34.493, 4.533)
35 4, (35.507, 4.533)
36 4, (36.522, 4.533)
37 4, (37.536, 4.533)
38 4, (38.551, 4.533)
39 4, (39.565, 4.533)
40 4, (40.580, 4.533)
41 4, (41.594, 4.533)
42 4, (42.609, 4.533)
43 4, (43.623, 4.533)
44 4, (44.638, 4.533)
45 4, (45.652, 4.533)
46 4, (46.667, 4.533)
47 4, (47.681, 4.533)
